"DESCRIPCIÓN DE LA SERIE","PDE2010.AAPP.DEUDA SEGUN PDE.TOTAL ","PDE2010.AAPP.DEUDA SEGUN PDE.VARIACION MENSUAL DE LA DEUDA SEGUN PDE ","PDE2010.AAPP.DEUDA SEGUN PDE.T 1,12 DE LA DEUDA SEGUN PDE","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VARIACION MENSUAL DE LA DEUDA PDE. VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.T1,12 DE LA DEUDA PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE. CONTRIBUCION A T1,12 TOTAL DE LA DEUDA PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VARIACION MENSUAL DE LA DEUDA PDE.VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.T1,12 DE LA DEUDA PDE. VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.CONTRIBUCION A T1,12 TOTAL DE LA DEUDA PDE. VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","ADMINISTRACIONES PÚBLICAS . PDE2010.AAPP.DEUDA SEGUN PDE. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. TOTAL PRESTAMOS MAS EFECTIVO Y DEPOSITOS","ADMINISTRACIONES PÚBLICAS . PDE2010.AAPP.DEUDA SEGUN PDE.VARIACION MENSUAL DE LA DEUDA PDE.PRESTAMOS. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. VARIACION MENSUAL DE LA DEUDA PDE.PRESTAMOS","ADMINISTRACIONES PÚBLICAS . PDE2010.AAPP.DEUDA SEGUN PDE. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. T1/12 TOTAL PRESTAMOS MAS EFECTIVO Y DEPOSITOS","ADMINISTRACIONES PÚBLICAS . PDE2010.AAPP.DEUDA SEGUN PDE. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. CONTRIBUCION A T1,12 TOTAL PRESTAMOS MAS EFECTIVO Y DEPOSITOS"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Miles de Euros","Porcentaje","Porcentaje","Miles de Euros","Miles de Euros","Porcentaje","Porcentaje","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"JUN 1997",326859745,-4808154,10.5,72443496,-4893288,3.1,0.7,188224127,3202707,20.2,10.7,66192129,-3117563,-3.9,-0.9
"JUL 1997",327154321,294575,9.9,67582792,-4860704,-4.3,-1.0,195028949,6804822,23.2,12.4,64542585,-1649545,-6.0,-1.4
"AGO 1997",330665787,3511467,12.0,66612192,-970600,-0.8,-0.2,201087132,6058182,28.3,15.0,62966461,-1576124,-11.9,-2.9
"SEP 1997",330961476,295689,9.3,57463112,-9149080,-21.5,-5.2,209456363,8369232,30.4,16.1,64042003,1075543,-7.2,-1.6
"OCT 1997",331353907,392431,7.3,50865332,-6597780,-32.3,-7.8,217526851,8070488,32.4,17.2,62961724,-1080279,-9.3,-2.1
"NOV 1997",329959068,-1394840,6.0,45525804,-5339528,-41.8,-10.5,222385913,4859062,35.9,18.9,62047347,-914378,-10.6,-2.4
"DIC 1997",333627255,3668187,4.3,43055284,-2470520,-47.4,-12.1,227523050,5137137,36.2,18.9,63048919,1001573,-11.4,-2.5
"ENE 1998",336644710,3017456,5.4,41694000,-1361284,-49.0,-12.5,234191978,6668928,38.7,20.5,60758727,-2290192,-11.6,-2.5
"FEB 1998",341262125,4617415,8.3,40496168,-1197832,-49.3,-12.5,239792885,5600908,44.2,23.3,60973060,214332,-11.5,-2.5
"MAR 1998",343789172,2527046,7.7,36838160,-3658008,-54.1,-13.6,245429076,5636191,45.2,23.9,61521923,548864,-12.2,-2.7
"ABR 1998",342183014,-1606158,5.9,31151586,-5686574,-60.3,-14.7,251006253,5577176,43.2,23.4,60025167,-1496757,-13.2,-2.8
"MAY 1998",343092311,909297,3.4,28406454,-2745132,-63.3,-14.8,254532726,3526474,37.6,21.0,60153120,127953,-13.2,-2.8
"JUN 1998",349355692,6263382,6.9,25945856,-2460598,-64.2,-14.2,261725455,7192729,39.0,22.5,61684368,1531248,-6.8,-1.4
"JUL 1998",350027722,672029,7.0,20731576,-5214280,-69.3,-14.3,269235174,7509719,38.0,22.7,60060960,-1623408,-6.9,-1.4
"AGO 1998",347904197,-2123525,5.2,20780916,49340,-68.8,-13.9,267985828,-1249346,33.3,20.2,59137436,-923524,-6.1,-1.2
"SEP 1998",353728060,5823863,6.9,20709626,-71290,-64.0,-11.1,272607832,4622004,30.2,19.1,60410582,1273146,-5.7,-1.1
"OCT 1998",357794376,4066316,8.0,21291814,582188,-58.1,-8.9,277477862,4870030,27.6,18.1,59024684,-1385898,-6.3,-1.2
"NOV 1998",354815258,-2979118,7.5,21740744,448930,-52.2,-7.2,266597957,-10879905,19.9,13.4,66476538,7451854,7.1,1.3
"DIC 1998",346416966,-8398292,3.8,22556388,815644,-47.6,-6.1,262729918,-3868039,15.5,10.6,61130641,-5345896,-3.0,-0.6
