"","IE_3_1.1","IE_3_1.2","IE_3_1.3","IE_3_1.4","IE_3_1.5","IE_3_1.6","IE_3_1.7","IE_3_1.8","IE_3_1.9","IE_3_1.10","IE_3_1.11","IE_3_1.12","IE_3_1.13","IE_3_1.14","IE_3_1.15","IE_3_1.16","IE_3_1.17"
"ENE 2002",-10.0,-6.4,-0.9,-3.0,-10,-8,3.83,4.08,997711,104.917,103.599,94.684,102.506,"_","_","_",-1.480
"FEB 2002",-10.2,-6.5,1.5,-1.9,-9,-17,-9.80,-9.99,920653,90.033,88.120,91.308,77.536,"_","_","_",0.820
"MAR 2002",-11.7,-5.9,-2.1,-3.9,-8,-12,-14.87,-14.80,1138204,98.793,96.873,102.971,86.783,"_","_","_",0.790
"ABR 2002",-9.6,-6.1,0.2,-2.5,-9,-12,-6.46,-6.93,1003880,98.332,96.798,101.301,83.882,"_","_","_",0.920
"MAY 2002",-8.9,-5.3,1.8,-2.3,-7,-15,-4.80,-5.84,1012888,101.261,99.622,103.558,88.310,"_","_","_",0.910
"JUN 2002",-10.1,-8.1,0.2,-3.6,-8,-14,-16.35,-15.97,1042864,100.642,98.825,103.255,87.157,"_","_","_",0.020
"JUL 2002",-10.5,-10.2,0.0,-4.1,-10,-13,-5.10,-5.81,995371,111.384,109.526,108.277,106.373,"_","_","_",1.210
"AGO 2002",-12.4,-9.4,-2.4,-3.5,-11,-13,-8.78,-9.87,696235,98.592,96.288,106.754,98.219,"_","_","_",1.100
"SEP 2002",-10.8,-4.6,0.5,-2.3,-10,-8,-1.79,-3.95,835568,100.838,98.801,99.945,89.242,"_","_","_",1.320
"OCT 2002",-13.1,-6.2,-0.4,-0.8,-13,-11,0.51,-0.13,914869,105.385,103.507,104.100,93.507,"_","_","_",2.760
"NOV 2002",-13.1,-4.3,-0.4,-1.0,-15,-9,-8.28,-8.78,856339,100.015,98.002,100.429,95.238,"_","_","_",0.430
"DIC 2002",-17.2,-13.0,-4.4,-3.8,-17,-12,8.21,6.01,813859,123.593,122.551,119.963,140.547,"_","_","_",-0.160
"ENE 2003",-15.8,-12.7,-3.4,-5.6,-18,-16,-4.11,-5.27,946984,107.718,106.472,95.297,111.352,"_","_","_",2.400
"FEB 2003",-18.4,-14.9,-4.5,-0.2,-19,-14,-5.10,-5.69,887322,92.182,90.389,91.610,81.779,"_","_","_",1.110
"MAR 2003",-17.5,-17.7,-3.7,-3.3,-21,-15,-3.10,-4.46,1147366,99.700,97.944,100.023,86.839,"_","_","_",0.330
"ABR 2003",-14.9,-12.3,-2.4,0.7,-19,-15,7.97,6.31,968894,101.046,99.118,102.577,88.292,"_","_","_",1.260
"MAY 2003",-11.9,-8.5,-1.5,-4.0,-19,-14,-4.56,-5.17,973380,104.561,102.487,104.895,95.157,"_","_","_",0.400
"JUN 2003",-9.2,-7.3,0.3,-3.3,-18,-13,11.73,9.83,1071933,104.101,101.996,103.554,91.945,"_","_","_",1.250
"JUL 2003",-12.5,-8.2,-1.3,-3.4,-18,-12,8.04,6.45,1021544,114.594,112.541,110.245,110.844,"_","_","_",0.430
"AGO 2003",-11.1,-6.5,0.1,-2.9,-17,-12,5.71,4.12,683531,98.633,96.136,107.386,100.517,"_","_","_",0.210
"SEP 2003",-10.7,-3.6,0.5,-1.9,-17,-11,17.25,14.51,857679,103.831,102.342,103.792,93.802,"_","_","_",0.310
"OCT 2003",-13.3,-6.7,-2.8,1.5,-17,-9,11.51,8.78,914765,109.680,108.028,106.013,99.013,"_","_","_",1.080
"NOV 2003",-13.0,-4.6,-0.9,0.5,-16,-10,15.78,13.13,854232,100.737,98.892,98.462,97.351,"_","_","_",0.280
"DIC 2003",-12.3,-4.4,-0.4,-0.6,-16,-12,13.73,10.89,764220,129.968,128.324,123.144,150.595,"_","_","_",0.520
"ENE 2004",-12.7,-6.1,-0.2,-2.6,-15,-11,10.57,10.03,953282,111.859,110.402,96.857,119.353,"_","_","_",1.640
"FEB 2004",-12.9,-4.1,-1.6,-1.3,-15,-11,23.51,22.62,907362,96.796,94.697,92.225,85.948,"_","_","_",0.620
"MAR 2004",-11.1,-4.1,-1.3,-0.7,-14,-11,28.62,28.36,1129993,105.148,102.881,102.204,90.769,"_","_","_",1.320
"ABR 2004",-7.4,0.3,0.0,2.1,-14,-9,5.83,5.03,1015798,105.073,102.988,102.832,94.204,"_","_","_",2.050
"MAY 2004",-8.3,-1.9,-0.4,-5.8,-15,-11,10.70,9.43,1010936,104.750,102.930,101.775,93.783,"_","_","_",0.350
"JUN 2004",-9.7,-5.0,-0.8,-4.8,-13,-11,16.15,15.53,1076584,108.133,106.529,105.145,100.976,"_","_","_",2.370
"JUL 2004",-10.0,-1.8,-0.7,-6.0,-14,-10,4.85,4.08,1005032,118.001,116.522,111.067,119.375,"_","_","_",2.190
"AGO 2004",-10.4,-7.2,-0.7,-9.0,-14,-11,9.11,7.63,639248,98.471,96.114,103.096,101.101,"_","_","_",1.240
"SEP 2004",-13.4,-5.5,-1.7,-10.1,-13,-9,7.19,7.16,853690,105.023,103.917,102.821,96.589,"_","_","_",0.890
"OCT 2004",-12.4,-4.8,-0.6,-11.5,-14,-9,-1.29,-1.19,946434,109.053,108.138,105.452,103.728,"_","_","_",1.160
"NOV 2004",-11.2,-5.8,-1.0,-10.9,-14,-12,13.56,13.60,903642,106.194,104.741,101.806,102.330,"_","_","_",2.270
"DIC 2004",-10.1,-1.8,1.6,-10.0,-14,-9,4.01,4.03,790410,133.051,132.508,126.311,156.032,"_","_","_",2.440
"ENE 2005",-9.3,-2.1,-0.1,-10.3,-13,-11,6.04,7.42,970644,112.361,111.639,95.421,123.405,82.980,121.863,121.943,2.130
"FEB 2005",-11.0,-3.7,-0.5,-12.5,-14,-11,0.19,0.47,888413,97.525,96.467,93.190,89.998,72.745,101.807,112.536,2.030
"MAR 2005",-9.9,-4.9,-1.1,-7.3,-14,-10,-2.41,-1.91,1158021,106.729,105.269,103.770,96.986,82.757,109.946,120.645,2.400
"ABR 2005",-9.8,-7.2,-1.7,-2.5,-13,-8,7.67,8.93,1028011,107.985,107.445,104.003,100.504,84.460,113.027,120.385,0.740
"MAY 2005",-10.0,-8.9,-1.3,-1.7,-14,-10,7.92,8.35,971772,106.023,105.275,101.588,95.616,80.767,112.022,120.593,1.510
"JUN 2005",-10.3,-8.6,-2.3,-5.9,-14,-10,1.63,3.23,1146253,109.662,108.594,104.834,102.287,83.703,116.712,122.847,1.970
"JUL 2005",-9.7,-7.4,0.2,-4.6,-15,-11,-2.90,-2.03,1040005,116.236,116.103,109.249,119.903,92.305,125.464,125.695,2.590
"AGO 2005",-10.5,-7.6,-1.0,-4.2,-15,-10,9.35,10.54,691530,101.168,100.180,105.132,107.150,88.366,105.932,104.700,5.050
"SEP 2005",-11.3,-7.4,-0.6,-5.0,-14,-9,5.42,5.85,893933,107.241,107.206,104.407,101.906,85.889,113.870,118.682,3.400
"OCT 2005",-11.5,-6.8,-0.8,-4.4,-14,-7,-8.57,-9.02,948365,108.865,109.025,105.192,106.307,89.125,116.643,119.068,1.880
"NOV 2005",-14.3,-14.1,-3.1,-2.9,-14,-10,-3.10,-2.60,888515,106.475,105.726,100.204,104.045,83.119,113.834,117.696,0.630
"DIC 2005",-10.7,-8.8,0.5,-5.2,-12,-5,0.80,1.04,773918,133.619,134.297,125.142,164.501,106.301,148.795,134.790,0.930
"ENE 2006",-12.7,-9.8,-2.8,-10.5,-11,-8,0.08,-0.63,1005185,112.868,112.941,94.852,124.372,88.849,125.157,118.274,1.270
"FEB 2006",-14.2,-11.0,-2.9,-13.1,-11,-4,-1.56,-1.62,925382,98.216,97.610,92.396,92.197,78.135,105.488,108.787,2.160
"MAR 2006",-12.7,-11.5,-3.1,-13.1,-11,-4,8.65,8.65,1184916,109.266,108.689,104.221,101.161,89.258,114.998,121.467,1.480
"ABR 2006",-9.4,-10.8,-0.3,-2.3,-10,-1,-10.45,-10.73,1064583,105.037,104.746,102.353,101.828,88.298,110.617,114.008,2.100
"MAY 2006",-12.4,-14.2,-4.0,-11.8,-9,-3,1.46,1.66,1078233,109.261,109.284,103.493,101.979,89.103,117.688,121.500,2.690
"JUN 2006",-12.0,-12.6,-3.8,-19.8,-9,-0,-1.52,-2.25,1136111,110.723,110.330,106.802,103.903,91.351,117.315,122.096,2.440
"JUL 2006",-12.3,-15.3,-3.1,-9.7,-8,-1,-3.90,-3.64,1007276,118.641,119.017,110.421,124.359,100.373,127.244,125.315,2.660
"AGO 2006",-11.7,-11.1,-1.7,-1.2,-9,1,-2.35,-2.53,697554,103.827,103.899,107.378,112.088,95.603,106.709,105.056,3.050
"SEP 2006",-14.5,-13.0,-3.7,-4.7,-8,2,-6.37,-6.14,911337,110.677,109.689,106.454,107.551,96.065,112.777,118.185,1.390
"OCT 2006",-11.4,-10.3,-1.8,-7.4,-8,1,7.11,8.03,966233,111.843,111.071,104.336,104.074,94.146,117.555,122.046,1.620
"NOV 2006",-10.4,-9.1,-1.0,-11.4,-8,1,1.89,2.31,946428,110.064,109.268,102.879,107.310,90.717,115.799,119.156,2.270
"DIC 2006",-10.9,-10.7,-1.7,-8.1,-7,1,-4.67,-3.76,872927,137.048,137.695,127.744,168.862,114.935,147.923,135.267,2.310
"ENE 2007",-12.7,-11.4,-1.9,-12.3,-6,0,9.09,2.66,977907,117.775,117.349,97.783,125.716,95.418,127.686,123.666,1.800
"FEB 2007",-11.4,-10.1,-2.7,-10.3,-5,1,-4.27,-4.42,896572,101.497,100.400,93.945,94.215,84.014,105.499,111.329,1.920
"MAR 2007",-10.6,-8.4,0.0,-12.3,-5,2,-0.42,-0.23,1204098,115.575,114.355,109.051,108.630,99.176,120.636,123.920,3.210
"ABR 2007",-10.9,-12.2,-3.3,-12.0,-4,3,-5.91,-6.02,1006166,107.248,106.121,102.032,99.696,90.778,112.429,116.030,2.460
"MAY 2007",-11.8,-10.0,-3.8,-9.0,-1,4,-0.26,-0.17,1072448,112.656,111.985,105.796,103.917,94.649,121.196,122.530,0.880
"JUN 2007",-11.2,-9.4,-3.1,-9.4,-2,3,-1.84,-1.79,1152918,115.048,114.281,110.273,109.492,99.125,123.404,122.197,1.890
"JUL 2007",-10.1,-8.7,-1.8,-15.0,-2,3,-0.25,-0.01,1022857,122.969,122.358,110.766,125.549,105.947,132.339,127.523,2.170
"AGO 2007",-11.3,-9.8,-2.4,-7.8,-4,3,-4.19,-2.66,705652,108.871,107.657,109.160,114.096,102.639,116.150,105.232,1.670
"SEP 2007",-15.3,-14.2,-5.1,-18.5,-6,-2,-8.22,-7.65,910353,110.696,110.100,104.437,105.889,96.918,116.330,117.845,2.220
"OCT 2007",-16.6,-15.8,-6.3,-14.7,-7,-1,1.77,3.42,969879,115.476,114.554,107.372,107.507,102.504,124.253,121.226,1.420
"NOV 2007",-18.0,-16.0,-7.0,-15.9,-9,2,-7.21,-5.86,914363,111.344,110.299,102.923,109.706,95.853,118.364,116.433,0.700
"DIC 2007",-20.4,-19.3,-10.2,-17.5,-10,-1,1.04,6.30,881485,134.200,135.182,124.428,167.268,117.892,144.766,129.194,-0.680
"ENE 2008",-20.8,-20.0,-8.1,-13.4,-11,-1,-16.69,-12.71,970786,116.021,115.992,97.570,124.543,100.232,125.788,118.539,1.540
"FEB 2008",-21.9,-21.0,-11.6,-23.5,-13,-2,1.23,0.74,943033,102.317,101.535,97.208,96.169,91.217,106.637,108.391,1.680
"MAR 2008",-19.7,-17.0,-10.0,-26.7,-13,-1,-27.93,-28.22,1144478,105.314,104.252,103.630,100.929,97.609,105.962,109.305,-2.060
"ABR 2008",-24.7,-22.9,-15.2,-33.8,-13,-7,1.46,1.54,1019840,107.023,105.744,103.388,97.945,96.718,110.724,112.783,-1.470
"MAY 2008",-30.4,-30.5,-17.4,-22.8,-14,-5,-23.99,-24.31,1011397,106.935,106.371,105.836,102.299,98.812,110.091,111.437,0.790
"JUN 2008",-37.0,-37.5,-25.3,-24.8,-17,-8,-30.52,-30.84,1052770,103.718,103.477,102.946,98.061,94.123,108.572,109.770,-1.790
"JUL 2008",-38.2,-37.5,-27.7,-25.6,-20,-13,-26.48,-27.43,939037,116.972,117.330,109.606,121.225,108.512,125.233,118.499,-1.200
"AGO 2008",-36.3,-38.7,-23.8,-35.4,-20,-12,-39.74,-41.27,638845,99.963,99.441,104.815,106.472,100.633,102.661,95.412,-1.480
"SEP 2008",-40.0,-35.8,-24.9,-32.9,-20,-13,-31.73,-32.21,814875,104.005,103.736,101.231,100.448,98.545,104.529,108.150,-0.410
"OCT 2008",-44.5,-43.9,-29.7,-31.9,-25,-17,-38.91,-39.96,833972,107.162,106.096,104.207,100.132,102.313,109.790,109.562,-2.120
"NOV 2008",-44.4,-41.5,-25.6,-26.3,-27,-17,-48.68,-49.59,736732,100.035,97.938,97.327,99.653,91.888,98.299,101.163,-2.330
"DIC 2008",-46.5,-44.4,-25.8,-33.9,-31,-24,-47.33,-49.89,683832,124.150,123.951,119.741,148.572,115.395,127.260,118.176,-1.710
"ENE 2009",-44.1,-42.9,-24.6,-29.2,-31,-22,-42.20,-41.56,764669,108.742,107.962,95.513,122.554,100.841,110.479,105.643,-2.590
"FEB 2009",-47.6,-48.2,-30.2,-28.7,-33,-21,-49.30,-48.85,819396,90.212,88.745,88.566,83.171,82.955,91.469,94.649,-4.930
"MAR 2009",-41.5,-46.8,-21.8,-26.9,-35,-19,-38.96,-38.65,1065784,97.283,95.529,97.413,87.919,91.821,96.917,101.901,-3.190
"ABR 2009",-36.7,-41.9,-17.8,-31.4,-31,-23,-46.00,-45.60,986122,97.844,96.492,100.183,91.039,94.506,97.625,100.844,-2.100
"MAY 2009",-25.1,-22.8,-12.3,-22.2,-28,-16,-38.78,-38.71,1064742,98.313,97.012,99.010,92.149,93.932,98.923,101.966,-3.910
"JUN 2009",-22.3,-22.9,-9.7,-22.1,-25,-17,-15.75,-15.88,1169866,101.034,100.404,101.674,97.279,96.492,104.427,102.827,-2.720
"JUL 2009",-19.5,-16.3,-8.1,-22.7,-23,-14,-10.72,-10.93,1002473,111.833,111.589,106.448,114.794,108.214,115.824,110.815,-2.020
"AGO 2009",-19.9,-15.4,-7.6,-23.5,-22,-12,-0.53,-0.04,687996,95.617,94.999,100.075,100.243,98.670,96.348,87.830,-2.850
"SEP 2009",-22.4,-16.3,-7.8,-22.0,-19,-13,17.70,17.96,894191,100.084,99.777,98.735,95.620,97.445,101.738,103.414,-3.580
"OCT 2009",-21.1,-15.1,-6.7,-20.7,-18,-13,26.38,26.67,976381,102.511,101.909,102.591,96.498,102.225,104.349,103.971,-1.310
"NOV 2009",-20.8,-14.1,-7.2,-22.0,-18,-10,37.56,37.26,903253,95.265,94.544,95.125,92.313,91.934,96.074,97.301,-2.050
"DIC 2009",-17.9,-11.7,-4.4,-23.9,-16,-8,26.51,25.11,776700,122.641,123.826,120.012,149.847,119.307,125.296,114.583,-0.180
"ENE 2010",-14.0,-8.4,-4.1,-21.8,-16,-7,17.37,18.09,894306,103.890,104.488,92.587,119.756,100.003,104.329,100.681,0.620
"FEB 2010",-18.8,-11.1,-4.7,-11.3,-18,-8,46.89,46.97,843916,89.409,88.962,89.354,84.494,86.454,86.686,93.308,-0.210
"MAR 2010",-21.8,-17.1,-8.6,-12.0,-18,-9,64.16,63.08,1098619,100.812,100.632,102.161,94.326,100.640,98.372,104.053,1.820
"ABR 2010",-19.6,-13.3,-8.6,-10.5,-15,-3,40.59,39.31,884766,95.497,95.382,97.679,88.546,94.229,93.939,99.548,-0.080
"MAY 2010",-24.5,-27.1,-12.3,-15.3,-18,-6,44.49,44.57,903857,96.707,96.393,98.345,89.142,94.536,96.742,100.521,1.340
"JUN 2010",-24.8,-25.0,-13.8,-14.6,-17,-5,24.76,25.62,1014095,101.997,101.881,100.521,97.439,97.260,107.099,104.752,0.900
"JUL 2010",-25.8,-27.2,-15.9,-21.4,-14,-3,-23.88,-24.07,819894,109.321,109.390,108.061,112.216,112.424,110.986,106.025,1.140
"AGO 2010",-19.9,-18.0,-11.9,-21.0,-12,-3,-22.93,-23.81,557755,94.330,93.836,99.222,94.870,99.976,95.353,89.392,1.910
"SEP 2010",-19.0,-15.5,-8.4,-13.3,-11,-1,-27.25,-27.26,784333,97.078,96.889,97.912,90.086,97.994,95.333,99.701,0.980
"OCT 2010",-19.7,-17.3,-8.4,-22.3,-11,0,-37.84,-37.64,826678,99.510,99.267,100.437,95.513,102.635,99.116,98.698,1.280
"NOV 2010",-20.7,-16.3,-10.0,-20.7,-10,-1,-25.79,-25.54,813971,94.323,93.926,96.102,91.610,94.970,91.894,94.870,1.740
"DIC 2010",-22.8,-20.2,-9.8,-22.6,-12,5,-24.00,-23.87,725683,117.128,118.954,117.620,142.002,118.879,120.151,108.451,-0.310
"ENE 2011",-21.0,-22.6,-10.5,-22.3,-12,1,-23.55,-23.52,858395,99.071,99.771,89.641,112.197,99.643,99.544,94.574,0.670
"FEB 2011",-15.2,-18.2,-5.5,-20.1,-10,0,-27.89,-27.56,846816,85.326,84.870,86.770,78.516,86.514,83.276,87.444,1.340
"MAR 2011",-22.6,-15.0,-10.6,-23.1,-11,-1,-29.73,-29.14,1056947,92.803,92.527,96.386,82.618,96.779,90.605,95.022,-1.320
"ABR 2011",-21.0,-15.2,-11.0,-21.7,-12,-1,-24.08,-23.32,884164,93.474,93.926,98.744,88.962,100.235,90.708,93.517,1.010
"MAY 2011",-15.5,-11.5,-6.2,-18.7,-10,-2,-24.09,-23.33,899130,90.973,90.812,94.842,81.618,94.554,88.612,93.632,-1.640
"JUN 2011",-11.9,-6.3,-2.9,-16.5,-10,-3,-31.47,-31.36,976195,94.322,94.363,98.336,88.026,97.564,94.043,95.489,-0.650
"JUL 2011",-13.4,-8.1,-2.2,-17.3,-11,-3,-5.51,-3.96,838956,102.555,103.074,101.951,106.094,107.957,103.175,99.307,-0.200
"AGO 2011",-17.0,-14.4,-6.0,-20.3,-17,-9,3.68,5.93,594547,90.715,90.665,98.369,91.695,101.656,88.874,84.401,0.000
"SEP 2011",-17.0,-16.1,-6.9,-19.0,-19,-9,-2.49,-1.26,795720,91.894,91.910,96.556,86.068,97.201,88.604,93.038,-1.070
"OCT 2011",-19.6,-16.0,-8.1,-19.3,-20,-10,-6.76,-6.66,822517,92.469,92.452,97.702,85.655,100.311,90.194,91.469,-0.930
"NOV 2011",-15.4,-12.0,-5.6,-18.4,-20,-12,-5.62,-6.39,788493,87.477,87.176,92.315,82.562,92.202,84.093,87.211,-1.380
"DIC 2011",-15.3,-9.8,-4.8,-20.4,-21,-13,-4.24,-3.60,717009,109.564,111.331,114.739,129.122,115.982,111.713,100.384,-1.790
"ENE 2012",-20.2,-17.6,-9.5,-24.6,-21,-16,1.91,2.47,747626,95.530,96.466,89.220,102.745,98.652,96.553,92.060,-0.720
"FEB 2012",-24.7,-19.9,-7.5,-22.2,-20,-14,-2.74,-2.10,723050,82.865,82.482,86.976,75.138,87.186,80.117,83.075,-1.680
"MAR 2012",-28.9,-23.8,-13.3,-22.2,-19,-12,-4.38,-4.49,972647,89.340,89.825,97.315,79.960,99.003,85.126,89.418,0.440
"ABR 2012",-28.6,-24.9,-15.6,-21.2,-20,-11,-21.49,-21.66,816873,82.855,83.279,92.066,74.185,91.165,79.298,83.142,-3.220
"MAY 2012",-33.2,-34.1,-18.7,-23.8,-19,-18,-7.28,-8.15,839866,87.117,87.375,93.502,76.936,94.814,84.223,87.757,-0.270
"JUN 2012",-25.1,-24.8,-14.7,-17.6,-20,-13,-11.70,-12.14,916888,89.453,89.877,97.321,82.724,99.485,86.322,87.629,-0.680
"JUL 2012",-29.3,-29.1,-18.4,-21.0,-21,-15,-16.80,-17.22,710963,94.704,95.380,97.445,95.153,105.088,94.224,89.257,-1.180
"AGO 2012",-39.7,-45.2,-26.6,-23.7,-24,-17,4.30,3.38,536929,88.401,88.477,97.655,91.037,101.210,86.142,79.705,-0.430
"SEP 2012",-36.8,-39.0,-25.1,-25.5,-26,-18,-35.34,-36.75,699202,79.355,79.756,90.050,73.665,91.329,74.849,76.341,-1.430
"OCT 2012",-35.8,-34.9,-21.8,-20.5,-25,-17,-20.95,-21.66,699074,84.018,84.281,93.663,75.129,97.382,80.657,80.636,-2.590
"NOV 2012",-37.7,-35.3,-21.8,-16.1,-27,-14,-20.73,-20.27,669818,79.981,79.472,89.207,74.833,89.427,75.669,76.086,-1.600
"DIC 2012",-40.0,-39.7,-23.0,-18.0,-26,-16,-22.30,-22.96,632301,97.725,99.273,107.953,113.650,110.856,95.062,87.027,-2.380
"ENE 2013",-32.5,-28.8,-17.8,-20.3,-24,-16,-8.51,-9.62,641634,87.197,87.979,84.683,91.407,96.942,87.254,80.935,-1.800
"FEB 2013",-33.4,-29.4,-17.3,-16.6,-24,-17,-8.86,-9.82,660177,74.319,74.392,80.925,69.552,83.055,71.022,72.182,-1.940
"MAR 2013",-31.9,-27.6,-15.1,-16.9,-24,-18,-13.13,-13.92,868691,79.686,79.748,91.188,72.178,92.460,74.354,76.796,-2.400
"ABR 2013",-28.9,-24.8,-15.0,-13.6,-22,-19,12.12,10.79,762317,80.770,80.901,89.668,71.464,93.080,77.197,78.477,-1.310
"MAY 2013",-31.6,-31.3,-15.8,-18.5,-22,-17,-2.26,-2.62,773465,83.169,83.196,91.711,74.129,94.623,79.395,81.165,-0.160
"JUN 2013",-25.7,-23.3,-14.8,-12.5,-19,-14,0.39,-0.67,853906,83.290,83.587,90.956,76.592,95.116,79.641,80.633,-1.530
"JUL 2013",-22.7,-18.1,-10.4,-9.3,-17,-13,16.92,14.85,708103,93.057,93.933,96.446,91.734,107.504,91.281,87.007,-0.820
"AGO 2013",-21.2,-14.7,-9.1,-6.5,-16,-10,-17.19,-18.33,513773,84.440,84.558,95.421,81.818,101.883,79.983,76.042,-0.240
"SEP 2013",-17.5,-9.6,-6.7,-5.3,-15,-6,29.42,28.53,682484,81.004,81.460,88.156,75.385,92.620,76.851,78.601,-0.210
"OCT 2013",-20.6,-9.7,-8.9,-5.0,-15,-7,35.08,34.39,728672,83.636,83.792,92.863,73.784,98.027,79.553,80.440,-0.510
"NOV 2013",-20.5,-9.2,-7.6,-2.6,-15,-7,16.46,15.15,703042,81.601,81.710,89.786,78.810,93.763,77.620,76.647,1.710
"DIC 2013",-17.1,-4.8,-7.2,5.5,-14,-4,19.74,18.20,676220,97.660,99.501,106.237,113.686,111.248,95.390,87.190,0.020
"ENE 2014",-12.5,0.6,-5.3,6.6,-12,-2,8.96,7.57,678005,86.953,88.042,85.668,92.542,97.094,85.901,80.658,0.800
"FEB 2014",-14.7,0.9,-5.1,1.1,-13,-2,19.60,17.80,700029,74.048,74.172,80.495,69.063,82.684,70.842,71.420,1.070
"MAR 2014",-8.3,4.7,-2.0,7.5,-10,-1,11.05,9.98,904423,80.084,80.079,89.828,71.089,92.334,75.597,76.900,1.210
"ABR 2014",-7.8,3.6,-1.4,6.9,-9,-2,29.41,28.66,802098,80.832,80.987,90.117,72.127,92.651,78.030,77.612,1.800
"MAY 2014",-6.7,7.7,0.0,7.2,-7,-2,18.26,16.92,799659,83.854,84.145,93.195,76.031,96.075,80.409,80.540,0.680
"JUN 2014",-3.9,5.6,1.4,6.0,-8,-1,24.42,23.89,883230,83.258,83.561,90.809,76.202,93.549,81.424,80.326,2.140
"JUL 2014",-7.7,3.6,-0.5,6.0,-9,-1,12.20,11.11,748990,92.918,93.736,97.494,91.033,106.116,92.820,86.717,0.590
"AGO 2014",-6.4,9.5,1.0,9.0,-10,-4,16.40,13.75,534906,83.708,83.573,95.046,81.958,100.257,81.955,73.818,1.620
"SEP 2014",-9.6,5.6,-0.2,6.9,-12,-7,27.94,26.20,700101,83.190,83.594,91.257,77.731,95.545,79.394,79.243,0.360
"OCT 2014",-10.0,3.7,0.1,6.3,-11,-5,28.61,26.15,761563,85.259,85.423,93.736,75.589,99.089,81.880,81.364,1.300
"NOV 2014",-11.8,-1.3,-4.2,6.9,-12,-5,19.78,17.44,705733,81.860,82.005,88.248,80.493,93.372,76.733,76.655,1.290
"DIC 2014",-7.1,5.8,0.0,10.0,-11,-4,23.75,21.36,676430,102.799,104.063,110.186,119.411,117.496,97.337,91.075,2.840
"ENE 2015",-1.4,11.6,4.1,10.5,-8,-3,28.90,27.48,752286,90.429,90.580,87.969,96.976,102.674,87.048,81.436,2.580
"FEB 2015",-2.1,14.4,2.7,12.9,-7,-1,27.33,26.11,756791,75.889,75.457,80.760,69.069,84.779,71.700,74.074,2.640
"MAR 2015",1.7,16.1,5.5,14.5,-4,-1,41.76,40.50,978940,83.241,83.122,90.253,74.272,95.435,77.975,81.331,2.000
"ABR 2015",3.6,18.4,7.0,16.0,-5,-1,5.19,3.18,853846,83.068,82.912,90.278,75.138,95.332,79.326,80.019,2.540
"MAY 2015",1.6,17.6,5.7,15.9,-6,2,15.59,14.00,853885,85.330,85.347,91.588,78.667,98.712,81.210,81.496,2.800
"JUN 2015",-0.4,13.3,4.6,13.4,-6,-1,25.24,23.49,949531,86.398,86.449,92.546,80.147,99.427,83.027,82.472,2.170
"JUL 2015",-0.1,10.5,4.4,13.7,-7,1,25.05,23.46,823165,96.654,96.987,98.954,96.553,111.994,94.245,88.764,3.400
"AGO 2015",-1.3,15.3,5.1,13.5,-7,4,25.13,23.29,579100,86.275,85.470,94.330,86.341,103.092,80.962,75.234,2.660
"SEP 2015",-2.7,11.0,5.6,11.3,-7,4,27.20,22.53,768616,87.106,86.878,91.650,82.071,99.878,81.453,82.870,3.390
"OCT 2015",-1.2,14.9,6.9,15.0,-8,7,8.12,5.23,805962,89.547,89.278,94.658,82.895,105.906,83.855,83.462,2.250
"NOV 2015",0.6,16.3,7.5,15.7,-6,6,27.66,25.38,782929,85.343,85.069,88.617,83.476,97.668,80.247,79.631,1.590
"DIC 2015",5.4,21.5,10.1,17.0,-6,3,22.68,20.65,778373,106.113,106.968,110.924,120.662,122.099,100.002,93.662,2.060
"ENE 2016",-0.9,9.7,4.3,16.8,-6,3,14.66,12.06,833912,92.190,92.363,86.341,99.448,105.128,88.038,82.666,2.100
"FEB 2016",-1.4,8.9,5.1,14.3,-9,1,14.90,12.61,834594,81.483,80.888,85.132,74.265,92.791,74.918,78.347,"_"
"MAR 2016",-5.1,4.4,3.4,11.4,-10,2,"_","_","_","_","_","_","_","_","_","_","_"
