"","IE_8_1.1","IE_8_1.2","IE_8_1.3","IE_8_1.4","IE_8_1.5","IE_8_1.6","IE_8_1.7","IE_8_1.8","IE_8_1.9","IE_8_1.10","IE_8_1.11","IE_8_1.12","IE_8_1.13","IE_8_1.14","IE_8_1.15","IE_8_1.16","IE_8_1.17","IE_8_1.18","IE_8_1.19","IE_8_1.20","IE_8_1.21","IE_8_1.22","IE_8_1.23","IE_8_1.24","IE_8_1.25","IE_8_1.26","IE_8_1.27","IE_8_1.28"
"NÚMERO SECUENCIAL",662210,662293,662294,662295,662211,662212,662213,662214,662296,662215,662216,662217,662298,662031,662032,662033,662034,662035,662036,662037,662044,662045,662038,662039,662040,662041,662042,662046
"DESCRIPCIÓN DE LA SERIE","Balance del Eurosistema. Prestamo neto. Total","Balance del Eurosistema. Prestamo neto. OMA. Operaciones Principales de Financiación","Balance del Eurosistema. Prestamo neto. OMA. Operaciones de Financiación a largo plazo","Balance del Eurosistema. Prestamo neto. OMA. Operaciones de Ajuste","Balance del Eurosistema. Prestamo neto. OMA. Operaciones estructurales","Balance del Eurosistema. Prestamo neto. Facilidades Marginal de Crédito","Balance del Eurosistema. Prestamo neto. Facilidades Marginal de Deposito","Balance del Eurosistema. Contrapartidas. Total","Balance del Eurosistema. Contrapartidas. Factores Autonomos.Billetes","Balance del Eurosistema. Contrapartidas. Factores Autonomos.Depósitos AAPP","Balance del Eurosistema. Contrapartidas. Factores Autonomos.Oro y Activos Netos en Moneda Extranjera","Balance del Eurosistema. Contrapartidas. Factores Autonomos.Resto activos","Balance del Eurosistema. Contrapartidas. Reservas Mantenidas por Entidades de Crédito","Balance del Banco de España. Prestamo neto. Total","Balance del Banco de España. Prestamo neto. OMA. Operaciones Principales de Financiación","Balance del Banco de España. Prestamo neto. OMA. Operaciones de Financiación a largo plazo","Balance del Banco de España. Prestamo neto. OMA. Operaciones de Ajuste","Balance del Banco de España. Prestamo neto. OMA. Operaciones estructurales","Balance del Banco de España. Prestamo neto. Facilidades Marginal de Crédito","Balance del Banco de España. Prestamo neto. Facilidades Marginal de Deposito","Balance del Banco de España. Contrapartidas. Otros Pasivos Netos en Euros.Frente a residentes en la UEM. Target","Balance del Banco de España. Contrapartidas. Otros Pasivos Netos en Euros. Resto","Balance del Banco de España. Contrapartidas. Total","Balance del Banco de España. Contrapartidas. Factores Autonomos.Billetes","Balance del Banco de España. Contrapartidas. Factores Autonomos.Depósitos AAPP","Balance del Banco de España. Contrapartidas. Factores Autonomos.Oro y Activos Netos en Moneda Extranjera","Balance del Banco de España. Contrapartidas. Factores Autonomos.Resto activos","Balance del Banco de España. Contrapartidas. Reservas Mantenidas por Entidades de Crédito"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"MAR 2012",361694816,40791812,1096955648,0,0,3718046,779770688,249710624,868490176,142719760,672632704,88866608,111984184,227600368,1036916,315305504,0,0,0,88742056,252097136,-5723746,-30158620,66912344,24829256,35053580,86846640,11385598
"ABR 2012",382711680,55068672,1090965376,0,0,1065905,764388288,272458304,873353344,148188272,660168320,88914992,110253384,263534544,1780951,315152640,0,0,5274,53404316,284549056,-5723746,-26952592,67161224,24158676,32985654,85286840,11661827
"MAY 2012",347195232,40063304,1076811904,348,0,1643783,771324096,229927104,876906688,116280392,656995072,106264904,117268128,287813152,9204267,315438144,0,0,0,36829256,318593568,-5723746,-36856496,67030008,11225823,32912450,82199880,11799826
"JUN 2012",437788640,132691000,1069309312,9,0,2003413,766215104,328135232,888832448,131373840,659453696,32617360,109653416,337205696,44960844,320036448,0,0,0,27791596,371808160,-5723746,-40467692,70048624,7283884,35954068,81846128,11588973
"JUL 2012",743700608,156105536,1080565120,0,0,817273,493787296,372134688,896181824,134905872,678365888,-19412880,371565920,375548896,69337760,332847328,0,0,0,26636180,414619232,-5723746,-45373144,71589208,5318664,42438528,79842488,12026554
"AGO 2012",885372480,131936424,1076235648,0,0,832956,323632576,347038080,898560704,115827920,678404672,-11054128,538334400,388736352,74115280,337538944,0,0,0,22917872,428616672,-5723746,-46153916,71144256,6423624,43110300,80611496,11997342
"SEP 2012",876291904,124884360,1069567296,0,0,1013400,319173184,332823360,893288192,95736960,670650688,-14448896,543468544,378176064,70818192,329109376,0,0,0,21751494,419847008,-5723746,-47776276,69114440,4035523,41784652,79141584,11829078
"OCT 2012",885513728,92494392,1057904384,0,0,1323522,266208592,352304128,890570880,101249440,708573440,-69057248,533209600,341600832,47425624,319508192,0,0,0,25332978,383604896,-5723746,-48107796,67482440,4407562,40945196,79052600,11827477
"NOV 2012",884797632,77694104,1046595776,0,0,1358182,240850416,362981408,888224320,108633056,708113152,-74237184,521816224,340835104,44292360,320566624,0,0,0,24023892,376267712,-5723746,-43003664,65375652,10765635,41359500,77785448,13294802
"DIC 2012",884094336,74151472,1038706048,0,0,4538333,233301488,389750432,901829888,110977968,704635456,-81578032,494343904,313109480,41143740,316148154,0,0,762,44183176,352405661,-5743518,-48442448,64573744,6970387,40285376,79701200,14889785
"ENE 2013",907426752,105363152,1021210752,0,0,457087,219604224,420631840,891267648,99407272,657381824,-87338744,486794912,298663985,34839168,311209752,0,0,0,47384940,333226099,-5862146,-43911300,62902808,9223547,37616820,78420848,15211330
"FEB 2013",850147968,129306464,876189440,0,0,657900,156005808,419735360,880527104,73410296,655015808,-120813768,430412608,271840364,24077450,266846674,0,0,0,19083760,308008152,-5862146,-44310188,60934136,8629874,38170024,75704176,14004547
"MAR 2013",787506304,125975232,795072512,0,0,735429,134276864,428998912,884384448,86191712,656691840,-115114592,358507392,259997732,24304046,246637438,0,0,0,10943752,298304466,-5862146,-45497788,60973632,10768460,39538176,77701704,13053199
"ABR 2013",758155200,118248560,759811392,0,0,666000,120570776,427060704,894830272,87132552,657189952,-102287832,331094496,257214656,26747136,238329775,0,0,0,7862254,296900915,-5862146,-47153564,61643332,8020478,40418828,76398544,13329449
