"","IE_4_5.1","IE_4_5.2","IE_4_5.3","IE_4_5.4","IE_4_5.5","IE_4_5.6","IE_4_5.7","IE_4_5.8","IE_4_5.9","IE_4_5.10","IE_4_5.11","IE_4_5.12","IE_4_5.13","IE_4_5.14","IE_4_5.15","IE_4_5.16","IE_4_5.17"
"JUN 1977",506892,145626,40.31,"_","_","_","_","_","_","_","_","_","_","_","_",86259,53.11
"JUL 1977",534813,168735,46.09,"_","_","_","_","_","_","_","_","_","_","_","_",82563,57.80
"AGO 1977",547842,171699,45.65,"_","_","_","_","_","_","_","_","_","_","_","_",91369,59.86
"SEP 1977",569295,187101,48.95,"_","_","_","_","_","_","_","_","_","_","_","_",102941,72.32
"OCT 1977",599502,185515,44.81,"_","_","_","_","_","_","_","_","_","_","_","_",106063,58.80
"NOV 1977",629862,182722,40.86,"_","_","_","_","_","_","_","_","_","_","_","_",99851,30.73
"DIC 1977",661759,214252,47.88,"_","_","_","_","_","_","_","_","_","_","_","_",63276,-5.72
"ENE 1978",702667,231548,49.15,"_","_","_","_","_","_","_","_","_","_","_","_",73849,-11.40
"FEB 1978",744884,261354,54.05,"_","_","_","_","_","_","_","_","_","_","_","_",73787,-7.09
"MAR 1978",776690,288436,59.07,"_","_","_","_","_","_","_","_","_","_","_","_",79134,-15.40
"ABR 1978",787599,300044,61.54,"_","_","_","_","_","_","_","_","_","_","_","_",112021,24.15
"MAY 1978",780318,285473,57.69,"_","_","_","_","_","_","_","_","_","_","_","_",127524,22.00
"JUN 1978",801300,294408,58.08,"_","_","_","_","_","_","_","_","_","_","_","_",125007,44.92
"JUL 1978",821780,286967,53.66,"_","_","_","_","_","_","_","_","_","_","_","_",114947,39.22
"AGO 1978",833505,285663,52.14,"_","_","_","_","_","_","_","_","_","_","_","_",110950,21.43
"SEP 1978",858303,289008,50.77,"_","_","_","_","_","_","_","_","_","_","_","_",128839,25.16
"OCT 1978",892244,292742,48.83,"_","_","_","_","_","_","_","_","_","_","_","_",127254,19.98
"NOV 1978",914922,285060,45.26,"_","_","_","_","_","_","_","_","_","_","_","_",138756,38.96
"DIC 1978",907460,245701,37.13,"_","_","_","_","_","_","_","_","_","_","_","_",99649,57.48
"ENE 1979",926030,223363,31.79,"_","_","_","_","_","_","_","_","_","_","_","_",106095,43.66
"FEB 1979",942132,197248,26.48,"_","_","_","_","_","_","_","_","_","_","_","_",115714,56.82
"MAR 1979",971755,195065,25.11,"_","_","_","_","_","_","_","_","_","_","_","_",124313,57.09
"ABR 1979",1006054,218455,27.74,"_","_","_","_","_","_","_","_","_","_","_","_",123314,10.08
"MAY 1979",1009418,229100,29.36,"_","_","_","_","_","_","_","_","_","_","_","_",156532,22.75
"JUN 1979",1030268,228968,28.57,"_","_","_","_","_","_","_","_","_","_","_","_",141262,13.00
"JUL 1979",1052957,231177,28.13,"_","_","_","_","_","_","_","_","_","_","_","_",137209,19.37
"AGO 1979",1065625,232120,27.85,"_","_","_","_","_","_","_","_","_","_","_","_",121206,9.24
"SEP 1979",1092512,234209,27.29,"_","_","_","_","_","_","_","_","_","_","_","_",134718,4.56
"OCT 1979",1107054,214810,24.08,"_","_","_","_","_","_","_","_","_","_","_","_",141499,11.19
"NOV 1979",1112105,197183,21.55,"_","_","_","_","_","_","_","_","_","_","_","_",144595,4.21
"DIC 1979",1130432,222972,24.57,"_","_","_","_","_","_","_","_","_","_","_","_",110194,10.58
"ENE 1980",1163575,237545,25.65,"_","_","_","_","_","_","_","_","_","_","_","_",138330,30.38
"FEB 1980",1198232,256100,27.18,"_","_","_","_","_","_","_","_","_","_","_","_",144102,24.53
"MAR 1980",1222150,250395,25.77,"_","_","_","_","_","_","_","_","_","_","_","_",145001,16.64
"ABR 1980",1244927,238873,23.74,"_","_","_","_","_","_","_","_","_","_","_","_",159394,29.26
"MAY 1980",1241935,232517,23.03,"_","_","_","_","_","_","_","_","_","_","_","_",192007,22.66
"JUN 1980",1243588,213320,20.71,"_","_","_","_","_","_","_","_","_","_","_","_",164998,16.80
"JUL 1980",1253537,200580,19.05,"_","_","_","_","_","_","_","_","_","_","_","_",157318,14.66
"AGO 1980",1267916,202291,18.98,"_","_","_","_","_","_","_","_","_","_","_","_",142823,17.83
"SEP 1980",1313064,220552,20.19,"_","_","_","_","_","_","_","_","_","_","_","_",169367,25.72
"OCT 1980",1360430,253376,22.89,"_","_","_","_","_","_","_","_","_","_","_","_",169813,20.01
"NOV 1980",1402324,290219,26.10,"_","_","_","_","_","_","_","_","_","_","_","_",177897,23.03
"DIC 1980",1415626,285194,25.23,"_","_","_","_","_","_","_","_","_","_","_","_",147632,33.97
"ENE 1981",1477540,313965,26.98,"_","_","_","_","_","_","_","_","_","_","_","_",146383,5.82
"FEB 1981",1499582,301350,25.15,"_","_","_","_","_","_","_","_","_","_","_","_",161144,11.83
"MAR 1981",1518273,296123,24.23,"_","_","_","_","_","_","_","_","_","_","_","_",182544,25.89
"ABR 1981",1526492,281565,22.62,"_","_","_","_","_","_","_","_","_","_","_","_",197648,24.00
"MAY 1981",1514763,272828,21.97,"_","_","_","_","_","_","_","_","_","_","_","_",208577,8.63
"JUN 1981",1503906,260318,20.93,"_","_","_","_","_","_","_","_","_","_","_","_",207240,25.60
"JUL 1981",1524224,270687,21.59,"_","_","_","_","_","_","_","_","_","_","_","_",206312,31.14
"AGO 1981",1547364,279448,22.04,"_","_","_","_","_","_","_","_","_","_","_","_",131289,-8.08
"SEP 1981",1594291,281227,21.42,"_","_","_","_","_","_","_","_","_","_","_","_",136628,-19.33
"OCT 1981",1649098,288668,21.22,"_","_","_","_","_","_","_","_","_","_","_","_",146980,-13.45
"NOV 1981",1695172,292848,20.88,"_","_","_","_","_","_","_","_","_","_","_","_",133006,-25.23
"DIC 1981",1743789,328163,23.18,"_","_","_","_","_","_","_","_","_","_","_","_",108855,-26.27
"ENE 1982",1786583,309043,20.92,"_","_","_","_","_","_","_","_","_","_","_","_",110574,-24.46
"FEB 1982",1816797,317215,21.15,"_","_","_","_","_","_","_","_","_","_","_","_",134258,-16.68
"MAR 1982",1801549,283276,18.66,"_","_","_","_","_","_","_","_","_","_","_","_",129537,-29.04
"ABR 1982",1801333,274841,18.00,"_","_","_","_","_","_","_","_","_","_","_","_",121590,-38.48
"MAY 1982",1792705,277942,18.35,"_","_","_","_","_","_","_","_","_","_","_","_",154690,-25.84
"JUN 1982",1785623,281717,18.73,"_","_","_","_","_","_","_","_","_","_","_","_",154491,-25.45
"JUL 1982",1806906,282682,18.55,"_","_","_","_","_","_","_","_","_","_","_","_",134544,-34.79
"AGO 1982",1826451,279087,18.04,"_","_","_","_","_","_","_","_","_","_","_","_",119416,-9.04
"SEP 1982",1869921,275630,17.29,"_","_","_","_","_","_","_","_","_","_","_","_",152273,11.45
"OCT 1982",1967257,318159,19.29,"_","_","_","_","_","_","_","_","_","_","_","_",136874,-6.88
"NOV 1982",2064600,369428,21.79,"_","_","_","_","_","_","_","_","_","_","_","_",131529,-1.11
"DIC 1982",2150947,407158,23.35,"_","_","_","_","_","_","_","_","_","_","_","_",127361,17.00
"ENE 1983",2195631,409048,22.90,"_","_","_","_","_","_","_","_","_","_","_","_",111938,1.23
"FEB 1983",2207866,391069,21.53,"_","_","_","_","_","_","_","_","_","_","_","_",108847,-18.93
"MAR 1983",2172272,370723,20.58,"_","_","_","_","_","_","_","_","_","_","_","_",115712,-10.67
"ABR 1983",2174495,373162,20.72,"_","_","_","_","_","_","_","_","_","_","_","_",120351,-1.02
"MAY 1983",2128344,335639,18.72,"_","_","_","_","_","_","_","_","_","_","_","_",126918,-17.95
"JUN 1983",2138089,352466,19.74,"_","_","_","_","_","_","_","_","_","_","_","_",140681,-8.94
"JUL 1983",2155982,349076,19.32,"_","_","_","_","_","_","_","_","_","_","_","_",128594,-4.42
"AGO 1983",2186885,360434,19.73,"_","_","_","_","_","_","_","_","_","_","_","_",105787,-11.41
"SEP 1983",2221560,351639,18.81,"_","_","_","_","_","_","_","_","_","_","_","_",137571,-9.66
"OCT 1983",2265548,298291,15.16,"_","_","_","_","_","_","_","_","_","_","_","_",137275,0.29
"NOV 1983",2298306,233706,11.32,"_","_","_","_","_","_","_","_","_","_","_","_",128819,-2.06
"DIC 1983",2342309,191362,8.90,"_","_","_","_","_","_","_","_","_","_","_","_",108660,-14.68
"ENE 1984",2432522,236891,10.79,"_","_","_","_","_","_","_",141047,"_",0.42,2.06,21.75,129897,16.04
"FEB 1984",2452848,244982,11.10,"_","_","_","_","_","_","_",144637,"_",0.34,2.28,20.45,132228,21.48
"MAR 1984",2441775,269503,12.41,"_","_","_","_","_","_","_",150562,"_",0.44,2.06,18.68,127068,9.81
"ABR 1984",2444123,269628,12.40,"_","_","_","_","_","_","_",162024,"_",0.41,1.71,16.25,135239,12.37
"MAY 1984",2403546,275202,12.93,"_","_","_","_","_","_","_",201286,"_",0.33,1.60,15.24,161238,27.04
"JUN 1984",2393178,255089,11.93,"_","_","_","_","_","_","_",190650,"_",0.32,1.50,15.10,163770,16.41
"JUL 1984",2403796,247814,11.49,"_","_","_","_","_","_","_",208432,"_",0.34,1.38,14.73,160610,24.90
"AGO 1984",2449035,262150,11.99,"_","_","_","_","_","_","_",165033,"_",0.20,1.01,14.18,121720,15.06
"SEP 1984",2511834,290274,13.07,"_","_","_","_","_","_","_",181757,"_",0.25,2.13,20.90,155436,12.99
"OCT 1984",2576820,311272,13.74,"_","_","_","_","_","_","_",223204,"_",0.27,3.54,26.77,191932,39.82
"NOV 1984",2591233,292927,12.75,"_","_","_","_","_","_","_",216928,"_",0.26,3.21,35.60,193941,50.55
"DIC 1984",2604193,261884,11.18,"_","_","_","_","_","_","_",174913,"_",5.51,3.73,94.49,156911,44.41
"ENE 1985",2625652,193130,7.94,"_","_","_","_","_","_","_",195572,38.66,3.50,6.27,96.50,196886,51.57
"FEB 1985",2668999,216151,8.81,"_","_","_","_","_","_","_",179456,24.07,3.01,4.83,96.99,169012,27.82
"MAR 1985",2681087,239312,9.80,"_","_","_","_","_","_","_",175701,16.70,2.98,5.30,97.02,156501,23.16
"ABR 1985",2662018,217895,8.92,"_","_","_","_","_","_","_",194147,19.83,2.48,4.47,97.52,179892,33.02
"MAY 1985",2627113,223567,9.30,"_","_","_","_","_","_","_",215439,7.03,2.47,4.20,97.53,200501,24.35
"JUN 1985",2593425,200247,8.37,"_","_","_","_","_","_","_",224446,17.73,3.60,3.53,96.40,197279,20.46
"JUL 1985",2567523,163727,6.81,"_","_","_","_","_","_","_",280867,34.75,4.83,3.26,95.17,245445,52.82
"AGO 1985",2560406,111371,4.55,"_","_","_","_","_","_","_",239879,45.35,3.82,2.65,96.18,203655,67.31
"SEP 1985",2600956,89122,3.55,"_","_","_","_","_","_","_",271118,49.17,5.47,3.84,94.53,251387,61.73
"OCT 1985",2658460,81640,3.17,"_","_","_","_","_","_","_",314548,40.92,5.94,5.58,94.06,300513,56.57
"NOV 1985",2726836,135603,5.23,"_","_","_","_","_","_","_",277402,27.88,5.72,5.00,94.28,254078,31.01
"DIC 1985",2731505,127312,4.89,"_","_","_","_","_","_","_",223428,27.74,6.03,4.75,93.97,216310,37.86
"ENE 1986",2805584,179932,6.85,"_","_","_","_","_","_","_",239927,22.68,7.30,5.46,92.70,218167,10.81
"FEB 1986",2810345,141346,5.30,"_","_","_","_","_","_","_",235690,31.34,7.30,6.18,92.70,191026,13.03
"MAR 1986",2803376,122289,4.56,"_","_","_","_","_","_","_",218754,24.50,7.33,5.82,92.67,182667,16.72
"ABR 1986",2776794,114776,4.31,"_","_","_","_","_","_","_",285886,47.25,5.66,4.87,94.34,238745,32.72
"MAY 1986",2703445,76332,2.91,"_","_","_","_","_","_","_",291482,35.30,5.29,4.55,94.71,256147,27.75
"JUN 1986",2652366,58941,2.27,"_","_","_","_","_","_","_",322853,43.84,4.48,4.02,95.52,282530,43.21
"JUL 1986",2645053,77530,3.02,"_","_","_","_","_","_","_",354670,26.28,3.99,4.23,96.01,302148,23.10
"AGO 1986",2642936,82530,3.22,"_","_","_","_","_","_","_",265457,10.66,3.34,3.63,96.66,207020,1.65
"SEP 1986",2710141,109185,4.20,"_","_","_","_","_","_","_",312129,15.13,4.15,5.04,95.85,292461,16.34
"OCT 1986",2784532,126072,4.74,"_","_","_","_","_","_","_",359332,14.24,4.74,6.66,95.26,331924,10.45
"NOV 1986",2867088,140252,5.14,"_","_","_","_","_","_","_",320692,15.61,5.01,5.98,94.99,282254,11.09
"DIC 1986",2901825,170320,6.24,"_","_","_","_","_","_","_",247938,10.97,5.36,5.88,94.64,234605,8.46
"ENE 1987",2972284,166700,5.94,"_","_","_","_","_","_","_",275387,14.78,6.80,5.82,93.20,253314,16.11
"FEB 1987",2987892,177547,6.32,"_","_","_","_","_","_","_",287493,21.98,6.77,5.78,93.23,243001,27.21
"MAR 1987",2977427,174051,6.21,"_","_","_","_","_","_","_",287261,31.32,6.48,5.48,93.52,256540,40.44
"ABR 1987",2945637,168843,6.08,"_","_","_","_","_","_","_",310656,8.66,5.65,5.24,94.35,270606,13.35
"MAY 1987",2883874,180429,6.67,"_","_","_","_","_","_","_",359122,23.21,4.64,4.42,95.36,293336,14.52
"JUN 1987",2838500,186134,7.02,"_","_","_","_","_","_","_",370225,14.67,4.39,4.28,95.61,310250,9.81
"JUL 1987",2821307,176254,6.66,"_","_","_","_","_","_","_",411357,15.98,4.06,4.49,95.94,320288,6.00
"AGO 1987",2811677,168741,6.38,"_","_","_","_","_","_","_",297946,12.24,3.57,4.22,96.43,237657,14.80
"SEP 1987",2878643,168502,6.22,"_","_","_","_","_","_","_",369815,18.48,4.48,5.41,95.52,330436,12.98
"OCT 1987",2951118,166586,5.98,"_","_","_","_","_","_","_",404937,12.69,4.74,7.31,95.26,350083,5.47
"NOV 1987",2997815,130727,4.56,"_","_","_","_","_","_","_",391095,21.95,4.93,6.62,95.07,335590,18.90
"DIC 1987",3023646,121821,4.20,"_","_","_","_","_","_","_",282592,13.98,5.53,6.67,94.47,247916,5.67
"ENE 1988",3069088,96804,3.26,"_","_","_","_","_","_","_",328554,19.31,5.42,6.91,94.58,284098,12.15
"FEB 1988",3041614,53722,1.80,"_","_","_","_","_","_","_",348325,21.16,6.43,6.92,93.57,308961,27.14
"MAR 1988",2995718,18291,0.61,"_","_","_","_","_","_","_",350499,22.01,6.19,6.31,93.81,287613,12.11
"ABR 1988",2940281,-5356,-0.18,"_","_","_","_","_","_","_",366840,18.09,5.32,5.77,94.68,296974,9.74
"MAY 1988",2878041,-5833,-0.20,"_","_","_","_","_","_","_",412978,15.00,7.36,5.25,92.64,304717,3.88
"JUN 1988",2823719,-14781,-0.52,"_","_","_","_","_","_","_",396395,7.07,2.24,5.19,97.76,321042,3.48
"JUL 1988",2776042,-45265,-1.60,"_","_","_","_","_","_","_",431438,4.88,2.36,5.26,97.64,319026,-0.39
"AGO 1988",2744761,-66916,-2.38,"_","_","_","_","_","_","_",360966,21.15,1.97,4.52,98.03,261935,10.22
"SEP 1988",2743503,-135140,-4.69,"_","_","_","_","_","_","_",456433,23.42,2.47,6.31,97.53,346881,4.98
"OCT 1988",2756466,-194652,-6.60,"_","_","_","_","_","_","_",472312,16.64,2.58,8.59,97.42,368094,5.14
"NOV 1988",2762101,-235714,-7.86,"_","_","_","_","_","_","_",448862,14.77,2.43,7.19,97.57,346942,3.38
"DIC 1988",2768526,-255120,-8.44,"_","_","_","_","_","_","_",320441,13.39,2.75,6.77,97.25,265606,7.14
"ENE 1989",2772656,-296432,-9.66,"_","_","_","_","_","_","_",411887,25.36,3.26,6.80,96.74,333779,17.49
"FEB 1989",2740422,-301192,-9.90,"_","_","_","_","_","_","_",404106,16.01,3.66,6.66,96.34,309559,0.19
"MAR 1989",2697535,-298183,-9.95,"_","_","_","_","_","_","_",421110,20.15,3.45,6.55,96.55,326501,13.52
"ABR 1989",2652465,-287816,-9.79,"_","_","_","_","_","_","_",433241,18.10,3.18,6.28,96.82,322800,8.70
"MAY 1989",2580404,-297637,-10.34,"_","_","_","_","_","_","_",458793,11.09,3.08,6.23,96.92,335140,9.98
"JUN 1989",2532767,-290952,-10.30,"_","_","_","_","_","_","_",490738,23.80,2.65,5.92,97.35,359396,11.95
"JUL 1989",2474896,-301146,-10.85,"_","_","_","_","_","_","_",503731,16.76,2.28,5.72,97.72,348870,9.35
"AGO 1989",2454568,-290193,-10.57,"_","_","_","_","_","_","_",394311,9.24,1.98,5.29,98.02,279683,6.78
"SEP 1989",2417856,-325647,-11.87,"_","_","_","_","_","_","_",485004,6.26,2.46,6.77,97.54,441622,27.31
"OCT 1989",2430608,-325858,-11.82,"_","_","_","_","_","_","_",530792,12.38,2.49,8.73,97.51,487130,32.34
"NOV 1989",2422898,-339203,-12.28,"_","_","_","_","_","_","_",489021,8.95,2.63,7.67,97.37,459000,32.30
"DIC 1989",2426572,-341954,-12.35,"_","_","_","_","_","_","_",340640,6.30,2.89,7.31,97.11,323059,21.63
"ENE 1990",2448420,-324236,-11.69,"_","_","_","_","_","_","_",451877,9.71,3.54,7.18,96.46,457262,37.00
"FEB 1990",2445985,-294437,-10.74,"_","_","_","_","_","_","_",425006,5.17,3.49,7.32,96.51,408267,31.89
"MAR 1990",2416032,-281503,-10.44,"_","_","_","_","_","_","_",461536,9.60,3.25,7.07,96.75,438253,34.23
"ABR 1990",2383504,-268961,-10.14,"_","_","_","_","_","_","_",422770,-2.42,3.25,6.93,96.75,403353,24.95
"MAY 1990",2330636,-249768,-9.68,"_","_","_","_","_","_","_",486816,6.11,3.23,6.74,96.77,441877,31.85
"JUN 1990",2295151,-237616,-9.38,"_","_","_","_","_","_","_",479797,-2.23,3.46,6.31,96.54,452734,25.97
"JUL 1990",2262427,-212469,-8.58,"_","_","_","_","_","_","_",541353,7.47,2.79,6.40,97.21,470430,34.84
"AGO 1990",2273836,-180732,-7.36,"_","_","_","_","_","_","_",393535,-0.20,2.38,5.81,97.62,338314,20.96
"SEP 1990",2300372,-117484,-4.86,"_","_","_","_","_","_","_",451898,-6.83,3.09,7.73,96.91,428785,-2.91
"OCT 1990",2344848,-85760,-3.53,"_","_","_","_","_","_","_",557694,5.07,3.11,10.13,96.89,525029,7.78
"NOV 1990",2347753,-75145,-3.10,"_","_","_","_","_","_","_",505586,3.39,3.20,8.84,96.80,463170,0.91
"DIC 1990",2351246,-75326,-3.10,"_","_","_","_","_","_","_",354805,4.16,3.42,8.75,96.58,331265,2.54
"ENE 1991",2359410,-89010,-3.64,"_","_","_","_","_","_","_",471371,4.31,4.44,8.27,95.56,462408,1.13
"FEB 1991",2362373,-83612,-3.42,"_","_","_","_","_","_","_",400428,-5.78,4.15,8.51,95.85,377044,-7.65
"MAR 1991",2340503,-75529,-3.13,"_","_","_","_","_","_","_",377372,-18.24,3.90,8.25,96.10,363212,-17.12
"ABR 1991",2309305,-74199,-3.11,"_","_","_","_","_","_","_",490147,15.94,3.45,7.28,96.55,468448,16.14
"MAY 1991",2254792,-75844,-3.25,"_","_","_","_","_","_","_",493726,1.42,3.28,7.43,96.72,447911,1.37
"JUN 1991",2227748,-67403,-2.94,"_","_","_","_","_","_","_",457632,-4.62,3.17,7.35,96.83,417267,-7.83
"JUL 1991",2194989,-67438,-2.98,"_","_","_","_","_","_","_",558409,3.15,2.81,7.43,97.19,502277,6.77
"AGO 1991",2193090,-80746,-3.55,"_","_","_","_","_","_","_",379534,-3.56,2.49,6.96,97.51,332120,-1.83
"SEP 1991",2252766,-47606,-2.07,"_","_","_","_","_","_","_",471104,4.25,2.89,9.29,97.11,422075,-1.56
"OCT 1991",2316605,-28243,-1.20,"_","_","_","_","_","_","_",578999,3.82,3.19,12.03,96.81,528190,0.60
"NOV 1991",2326787,-20966,-0.89,"_","_","_","_","_","_","_",485663,-3.94,3.17,9.77,96.83,432817,-6.55
"DIC 1991",2329257,-21989,-0.94,"_","_","_","_","_","_","_",358133,0.94,3.13,9.63,96.87,312181,-5.76
"ENE 1992",2335922,-23488,-1.00,"_","_","_","_","_","_","_",464106,-1.54,4.46,9.36,95.54,425734,-7.93
"FEB 1992",2337472,-24901,-1.05,"_","_","_","_","_","_","_",429520,7.27,4.22,9.54,95.78,383715,1.77
"MAR 1992",2326678,-13825,-0.59,"_","_","_","_","_","_","_",432572,14.63,3.80,9.26,96.20,395519,8.89
"ABR 1992",2285617,-23688,-1.03,"_","_","_","_","_","_","_",429510,-12.37,3.85,9.49,96.15,381051,-18.66
"MAY 1992",2217990,-36802,-1.63,"_","_","_","_","_","_","_",430848,-12.74,4.26,9.11,95.74,370280,-17.33
"JUN 1992",2186941,-40807,-1.83,"_","_","_","_","_","_","_",449873,-1.70,3.94,9.06,96.06,384462,-7.86
"JUL 1992",2142894,-52095,-2.37,"_","_","_","_","_","_","_",543359,-2.70,3.52,9.80,96.48,454579,-9.50
"AGO 1992",2134101,-58989,-2.69,"_","_","_","_","_","_","_",332436,-12.41,3.10,8.89,96.90,298922,-10.00
"SEP 1992",2195356,-57410,-2.55,"_","_","_","_","_","_","_",448953,-4.70,3.56,11.44,96.44,426408,1.03
"OCT 1992",2272093,-44512,-1.92,"_","_","_","_","_","_","_",480634,-16.99,3.97,14.85,96.03,467358,-11.52
"NOV 1992",2322773,-4014,-0.17,"_","_","_","_","_","_","_",407397,-16.12,4.25,12.84,95.75,403173,-6.85
"DIC 1992",2360406,31149,1.34,"_","_","_","_","_","_","_",307587,-14.11,4.61,12.60,95.39,316482,1.38
"ENE 1993",2422516,86594,3.71,"_","_","_","_","_","_","_",351466,-24.27,4.74,12.58,95.26,375462,-11.81
"FEB 1993",2471228,133756,5.72,"_","_","_","_","_","_","_",342064,-20.36,4.40,13.01,95.60,356370,-7.13
"MAR 1993",2528953,202275,8.69,"_","_","_","_","_","_","_",364715,-15.69,3.71,12.43,96.29,385957,-2.42
"ABR 1993",2510023,224406,9.82,"_","_","_","_","_","_","_",363673,-15.33,3.27,13.19,96.73,381420,0.10
"MAY 1993",2485652,267662,12.07,"_","_","_","_","_","_","_",357681,-16.98,2.96,12.69,97.04,378276,2.16
"JUN 1993",2520990,334049,15.27,"_","_","_","_","_","_","_",416454,-7.43,2.75,12.04,97.25,428162,11.37
"JUL 1993",2497419,354525,16.54,"_","_","_","_","_","_","_",486127,-10.53,2.30,12.61,97.70,502728,10.59
"AGO 1993",2472185,338084,15.84,"_","_","_","_","_","_","_",354804,6.73,1.96,11.45,98.04,339762,13.66
"SEP 1993",2532127,336771,15.34,"_","_","_","_","_","_","_",432878,-3.58,3.05,14.48,96.95,454718,6.64
"OCT 1993",2628109,356016,15.67,"_","_","_","_","_","_","_",453371,-5.67,2.50,18.47,97.50,483465,3.45
"NOV 1993",2679657,356884,15.36,"_","_","_","_","_","_","_",416521,2.24,2.69,15.76,97.31,450263,11.68
"DIC 1993",2705842,345436,14.63,"_","_","_","_","_","_","_",315033,2.42,2.96,14.55,97.04,347286,9.73
"ENE 1994",2769474,346958,14.32,"_","_","_","_","_","_","_",390421,11.08,3.38,14.67,96.62,407798,8.61
"FEB 1994",2774579,303351,12.28,"_","_","_","_","_","_","_",417181,21.96,3.48,14.38,96.52,411774,15.55
"MAR 1994",2761241,232288,9.19,"_","_","_","_","_","_","_",488719,34.00,3.08,14.82,96.92,488413,26.55
"ABR 1994",2736431,226408,9.02,"_","_","_","_","_","_","_",469129,29.00,2.79,14.95,97.21,434904,14.02
"MAY 1994",2679410,193758,7.80,"_","_","_","_","_","_","_",502389,40.46,2.76,14.68,97.24,468388,23.82
"JUN 1994",2643772,122782,4.87,"_","_","_","_","_","_","_",517420,24.24,3.30,13.80,96.70,475266,11.00
"JUL 1994",2560305,62886,2.52,"_","_","_","_","_","_","_",562624,15.74,2.96,14.89,97.04,542117,7.84
"AGO 1994",2530857,58672,2.37,"_","_","_","_","_","_","_",465531,31.21,2.74,13.41,97.26,446315,31.36
"SEP 1994",2561084,28957,1.14,"_","_","_","_","_","_","_",555392,28.30,3.68,15.75,96.32,521417,14.67
"OCT 1994",2590421,-37688,-1.43,"_","_","_","_","_","_","_",605697,33.60,3.90,18.98,96.10,577351,19.42
"NOV 1994",2599893,-79764,-2.98,"_","_","_","_","_","_","_",588836,41.37,3.37,17.40,96.63,615996,36.81
"DIC 1994",2556829,-149013,-5.51,"_","_","_","_","_","_","_",477263,51.50,3.32,16.67,96.68,549468,58.22
"ENE 1995",2586429,-183045,-6.61,"_","_","_","_","_","_","_",566068,44.99,5.38,14.48,94.62,634167,55.51
"FEB 1995",2575873,-198706,-7.16,"_","_","_","_","_","_","_",524276,25.67,5.78,15.09,94.22,566098,37.48
"MAR 1995",2547095,-214146,-7.76,"_","_","_","_","_","_","_",621367,27.14,6.04,14.90,93.96,691270,41.53
"ABR 1995",2499091,-237340,-8.67,"_","_","_","_","_","_","_",527485,12.44,6.10,16.07,93.90,532605,22.46
"MAY 1995",2459670,-219740,-8.20,"_","_","_","_","_","_","_",645475,28.48,5.13,15.95,94.87,664916,41.96
"JUN 1995",2429674,-214098,-8.10,"_","_","_","_","_","_","_",628131,21.40,4.53,16.36,95.47,642427,35.17
"JUL 1995",2364329,-195976,-7.65,"_","_","_","_","_","_","_",656557,16.70,3.87,17.60,96.13,676791,24.84
"AGO 1995",2346453,-184404,-7.29,"_","_","_","_","_","_","_",558950,20.07,3.63,15.72,96.37,568390,27.35
"SEP 1995",2384273,-176811,-6.90,"_","_","_","_","_","_","_",628658,13.19,4.93,18.12,95.07,650912,24.84
"OCT 1995",2398763,-191658,-7.40,"_","_","_","_","_","_","_",734400,21.25,5.20,21.01,94.80,716256,24.06
"NOV 1995",2418934,-180959,-6.96,"_","_","_","_","_","_","_",688889,16.99,4.93,18.84,95.07,670400,8.83
"DIC 1995",2376951,-179878,-7.04,"_","_","_","_","_","_","_",549838,15.21,4.77,17.50,95.23,547667,-0.33
"ENE 1996",2995774,409345,15.83,"_","_","_","_","_","_","_",717223,26.70,4.77,16.47,95.23,711888,12.26
"FEB 1996",2994922,419049,16.27,"_","_","_","_","_","_","_",631687,20.49,4.74,16.56,95.26,640163,13.08
"MAR 1996",2969472,422377,16.58,"_","_","_","_","_","_","_",629629,1.33,4.92,16.59,95.08,624832,-9.61
"ABR 1996",2891580,392489,15.71,"_","_","_","_","_","_","_",683776,29.63,4.67,17.12,95.33,676855,27.08
"MAY 1996",2813180,353510,14.37,"_","_","_","_","_","_","_",746431,15.64,4.28,17.80,95.72,739037,11.15
"JUN 1996",2783076,353402,14.55,"_","_","_","_","_","_","_",700245,11.48,3.72,17.85,96.28,692714,7.83
"JUL 1996",2712456,348127,14.72,"_","_","_","_","_","_","_",839527,27.87,3.25,19.43,96.75,832473,23.00
"AGO 1996",2677610,331157,14.11,"_","_","_","_","_","_","_",606882,8.58,2.83,18.11,97.17,606476,6.70
"SEP 1996",2735843,351570,14.75,"_","_","_","_","_","_","_",764470,21.60,3.92,19.97,96.08,762354,17.12
"OCT 1996",2775951,377188,15.72,"_","_","_","_","_","_","_",916023,24.73,4.38,23.51,95.62,912972,27.46
"NOV 1996",2796229,377295,15.60,"_","_","_","_","_","_","_",744038,8.01,4.51,20.91,95.49,743424,10.89
"DIC 1996",2747049,370098,15.57,"_","_","_","_","_","_","_",647611,17.78,3.26,19.71,96.74,646809,18.10
"ENE 1997",2782276,-213498,-7.13,-4.19,-7.69,-13.16,-7.49,-13.72,-6.81,-5.12,860232,19.94,3.69,16.73,96.31,852746,19.79
"FEB 1997",2787662,-207260,-6.92,-3.68,-7.56,-13.77,-7.32,-13.79,-8.70,-4.32,740756,17.27,3.99,16.81,96.01,739728,15.55
"MAR 1997",2751554,-217918,-7.34,-5.13,-7.78,-4.91,-7.89,-14.06,-9.52,-4.97,718506,14.12,3.93,17.47,96.07,717212,14.78
