"","IE_2_7.1","IE_2_7.2","IE_2_7.3","IE_2_7.4","IE_2_7.5","IE_2_7.6","IE_2_7.7","IE_2_7.8","IE_2_7.9","IE_2_7.10","IE_2_7.11"
"OCT 2010",168.58,219.00,216.83,222.58,223.03,223.53,289.435,83.00,481.066,1342.0238,31.04
"NOV 2010",180.08,196.76,203.20,190.10,223.54,175.72,299.405,85.73,491.053,1369.8864,32.27
"DIC 2010",198.28,211.33,217.60,204.75,247.95,186.23,319.005,92.29,498.156,1389.6998,33.80
"ENE 2011",207.10,221.53,227.68,215.15,266.65,193.05,328.197,97.40,486.219,1356.4000,32.70
"FEB 2011",212.45,233.45,235.40,231.48,301.28,201.53,346.147,103.71,492.071,1372.7252,32.35
"MAR 2011",201.16,226.34,225.96,226.78,298.40,196.06,384.800,115.39,510.455,1424.0111,32.66
"ABR 2011",198.38,229.85,230.18,229.53,300.80,198.95,411.974,124.38,528.304,1473.8055,32.88
"MAY 2011",189.02,218.44,226.00,210.56,258.06,190.20,383.163,116.24,541.436,1510.4374,33.90
"JUN 2011",183.40,213.50,222.75,203.88,244.45,186.50,374.883,114.91,547.967,1528.6592,34.15
"JUL 2011",185.15,212.65,222.18,202.75,224.18,193.58,382.088,117.32,563.794,1572.8096,35.41
"AGO 2011",181.76,209.50,226.28,192.08,215.92,181.84,355.790,111.33,629.391,1755.8070,39.41
"SEP 2011",183.50,203.15,221.68,183.90,214.05,170.98,357.128,114.82,635.143,1771.8521,41.36
"OCT 2011",170.00,186.25,205.18,166.68,198.33,153.08,353.895,110.93,596.917,1665.2145,39.04
"NOV 2011",168.68,184.10,204.38,162.96,183.62,154.12,373.173,111.12,623.359,1738.9772,41.24
"DIC 2011",168.55,178.35,197.03,158.93,174.48,152.25,369.282,108.66,592.290,1652.3055,40.18
"ENE 2012",179.40,186.52,203.64,168.72,183.82,162.28,378.595,111.13,593.657,1656.1191,41.35
"FEB 2012",179.78,191.80,206.88,176.15,192.55,169.18,399.176,120.60,624.664,1742.6189,42.37
"MAR 2012",181.88,193.23,210.90,174.53,192.78,166.70,417.172,126.77,599.985,1673.7727,40.75
"ABR 2012",180.00,190.95,210.90,170.23,191.50,161.13,402.882,120.53,591.329,1649.6251,40.30
"MAY 2012",180.76,186.92,209.36,163.63,180.86,156.20,368.907,110.95,568.344,1585.5045,39.83
"JUN 2012",177.88,179.05,205.53,151.53,165.85,146.80,321.342,95.65,572.357,1596.6973,40.94
"JUL 2012",195.14,192.92,232.92,151.34,161.74,146.88,342.671,103.14,571.357,1593.9091,41.71
"AGO 2012",192.85,193.08,236.08,148.35,155.90,145.15,372.884,114.09,582.873,1626.0341,42.22
"SEP 2012",189.80,196.50,233.35,158.23,158.83,158.00,376.557,113.16,625.320,1744.4498,43.59
"OCT 2012",189.38,190.62,222.66,157.36,159.96,156.20,366.183,112.25,626.238,1747.0109,43.28
"NOV 2012",180.08,185.55,217.05,152.80,156.23,151.30,358.310,110.16,616.876,1720.8931,43.12
"DIC 2012",177.84,187.76,214.00,160.52,161.52,160.12,358.312,110.90,605.275,1688.5294,41.38
"ENE 2013",174.10,185.84,209.58,161.20,166.68,158.86,372.036,113.95,598.975,1670.9546,40.40
"FEB 2013",173.20,186.05,207.48,163.80,169.15,161.53,381.301,117.39,583.430,1627.5874,39.19
"MAR 2013",175.00,182.33,206.78,156.88,167.90,152.20,363.438,109.63,570.982,1592.8624,39.53
"ABR 2013",167.30,175.03,198.93,150.23,163.20,144.68,350.114,103.66,532.635,1485.8875,36.65
"MAY 2013",169.58,177.22,204.18,149.22,164.22,142.76,351.872,103.30,506.687,1413.5000,35.00
"JUN 2013",164.53,174.70,202.28,146.05,159.80,140.15,353.268,103.16,481.187,1342.3624,32.74
"JUL 2013",153.20,163.30,185.60,140.20,153.50,134.50,372.627,108.60,461.243,1286.7240,31.63
"AGO 2013",156.50,168.60,188.40,148.00,157.10,144.10,382.723,112.98,482.884,1347.0953,32.57
"SEP 2013",151.60,164.50,182.30,146.00,159.60,140.20,385.279,113.63,483.494,1348.7976,32.51
"OCT 2013",149.40,165.40,181.70,148.50,157.60,144.60,373.511,109.97,471.803,1316.1846,31.01
"NOV 2013",150.70,166.40,183.50,144.50,156.90,139.20,363.323,108.19,457.335,1275.8214,30.40
"DIC 2013",148.90,165.00,180.60,148.80,159.10,144.40,373.637,111.34,439.261,1225.4027,28.65
"ENE 2014",147.70,162.30,180.00,143.90,152.00,140.40,362.156,109.30,446.213,1244.7954,29.39
"FEB 2014",154.30,170.40,195.50,144.30,152.80,140.70,371.250,110.01,466.351,1300.9751,30.61
"MAR 2014",155.70,172.60,201.80,142.20,155.40,136.60,368.501,108.28,478.936,1336.0831,31.06
"ABR 2014",159.70,177.50,208.40,145.40,153.00,142.10,371.692,108.08,465.887,1299.6807,30.24
"MAY 2014",158.20,173.30,199.60,145.90,146.90,145.50,374.480,110.16,461.530,1287.5251,30.17
"JUN 2014",155.80,170.30,193.00,146.80,150.10,145.30,383.835,112.15,458.508,1279.0952,30.25
"JUL 2014",154.00,166.10,182.80,148.80,142.50,151.50,372.686,106.73,470.095,1311.4204,31.14
"AGO 2014",153.80,163.30,177.90,148.20,135.80,153.80,354.366,101.53,464.563,1295.9875,31.26
"SEP 2014",150.20,152.60,165.60,139.10,128.40,143.60,339.628,97.02,444.070,1238.8182,30.86
"OCT 2014",153.50,157.40,173.80,140.20,130.60,144.40,305.051,87.51,438.217,1222.4890,31.02
"NOV 2014",158.00,158.70,176.40,140.20,125.70,146.40,272.570,79.05,421.345,1175.4210,30.32
"DIC 2014",156.70,153.30,173.70,132.10,126.80,134.30,214.462,63.18,430.976,1202.2896,31.31
"ENE 2015",158.00,144.90,164.80,124.10,118.70,126.40,168.062,47.69,447.971,1249.6998,34.66
"FEB 2015",158.80,144.80,164.00,124.80,121.00,126.40,194.557,57.96,439.901,1227.1876,34.76
"MAR 2015",163.70,141.40,157.20,124.90,118.60,127.70,187.101,56.44,422.495,1178.6295,35.01
"ABR 2015",169.90,143.10,156.90,128.80,121.50,131.90,203.363,59.44,429.197,1197.3263,35.69
"MAY 2015",160.90,141.00,155.00,126.50,124.80,127.20,221.355,63.66,429.911,1199.3193,34.53
"JUN 2015",163.00,146.10,170.50,120.60,124.30,119.10,217.117,60.45,423.525,1181.5046,33.86
"JUL 2015",154.40,136.10,158.00,113.40,115.00,112.70,192.780,56.48,405.076,1130.0370,33.01
"AGO 2015",142.10,130.50,151.70,108.30,110.80,107.30,161.923,46.43,400.573,1117.4751,32.27
"SEP 2015",143.60,129.60,150.60,107.70,107.90,107.70,163.939,47.41,403.103,1124.5317,32.22
"OCT 2015",147.10,130.70,151.90,108.70,108.90,108.60,166.318,48.03,415.496,1159.1058,33.19
"NOV 2015",146.60,125.40,148.90,101.00,107.50,98.20,152.771,43.58,389.695,1087.1282,32.54
"DIC 2015",144.30,126.60,147.40,104.90,109.90,102.70,129.455,38.13,383.156,1068.8873,31.54
"ENE 2016",141.90,123.80,145.50,101.30,106.40,99.20,105.971,30.83,392.934,1096.1638,32.49
"FEB 2016",142.10,126.00,145.20,106.00,108.20,105.10,"_",31.93,429.931,1199.3739,34.79
