"","IE_7_9.1","IE_7_9.2","IE_7_9.3","IE_7_9.4","IE_7_9.5","IE_7_9.6","IE_7_9.7","IE_7_9.8","IE_7_9.9","IE_7_9.10","IE_7_9.11","IE_7_9.12","IE_7_9.13","IE_7_9.14","IE_7_9.15","IE_7_9.16","IE_7_9.17","IE_7_9.18","IE_7_9.19","IE_7_9.20","IE_7_9.21","IE_7_9.22","IE_7_9.23","IE_7_9.24"
"NÚMERO SECUENCIAL",2417208,2417219,2387014,2417220,2387010,2417221,2417222,2417223,2417224,2417210,2417225,2417226,2417227,2417228,2417229,2417230,2387016,2417231,2387012,2417232,2386998,2417233,2417234,2417235
"DESCRIPCIÓN DE LA SERIE","CF.  Deuda externa bruta. Stocks. VNP","CF. Deuda externa bruta.  Administraciones Públicas. Stocks. VNP","CF. Inversión de cartera. Títulos de deuda a corto plazo. Administraciones Públicas. Stocks. VNP","CF. Préstamos, créditos comerciales y otros pasivos. Corto plazo. Administraciones Públicas. Stocks. VNP","CF. Inversión de cartera. Títulos de deuda a largo plazo. Administraciones Públicas. Stocks. VNP","CF. Préstamos, créditos comerciales y otros pasivos. Largo plazo. Administraciones Públicas. Stocks. VNP","CF. Deuda externa bruta.  Instituciones financieras monetarias excluido el Banco de España. Stocks. VNP","CF. Inversión de cartera. Títulos de deuda a corto plazo.  IFM excluido el Banco de España. Stocks. VNP","CF. Otra inversión. Moneda y depósitos. Corto plazo.  IFM excluido el Banco de España. Stocks. VNP","CF. Préstamos, créditos comerciales y otros pasivos. Corto plazo. IFM excluido el Banco de España. Stocks. VNP","CF. Inversión de cartera. Títulos de deuda a largo plazo.  IFM excluido el Banco de España. Stocks. VNP","CF. Otra inversión. Moneda y depósitos. Largo plazo.  IFM excluido el Banco de España. Stocks. VNP","CF. Deuda externa bruta.  Banco de España. Stocks. VNP","CF. Otra inversión. Moneda y depósitos. Corto plazo. Banco de España. Stocks. VNP","CF. Otra inversión. Derechos especiales de giro. Stocks. VNP","CF. Deuda externa bruta.  Otros sectores residentes. Stocks. VNP","CF. Inversión de cartera. Títulos de deuda a corto plazo. Otros sectores residentes. Stocks. VNP","CF. Préstamos, créditos comerciales y otros pasivos. Corto plazo. Otros sectores residentes. Stocks. VNP","CF. Inversión de cartera. Títulos de deuda a largo plazo. Otros sectores residentes. Stocks. VNP","CF. Préstamos, créditos comerciales y otros pasivos. Largo plazo. Otros sectores residentes. Stocks. VNP","CF. Inversión directa. Instrumentos de deuda. Stocks. VNP","CF. Inversor directo en empresa de inversión directa. Instrumentos de deuda. Stocks. VNP","CF. Empresa de inversión directa en inversor directo. Instrumentos de deuda. Stocks. VNP","CF. Inversión directa entre empresas emparentada. Instrumentos de deuda. Stocks. VNP"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros"
"JUN 2009",1687823,263989,21125,966,211224,30675,790069,14200,409692,3840,251975,110363,35924,35596,328,404491,18969,11000,282343,92180,193350,67259,31393,94698
"SEP 2009",1698523,283790,31005,697,219260,32829,773181,14217,391123,3144,257026,107671,50596,47538,3057,395875,13249,11400,281652,89573,195081,65963,33186,95932
"DIC 2009",1734511,307463,44479,521,229085,33379,786023,14903,384509,3150,260304,123157,44478,41400,3078,395217,18059,10748,278601,87809,201330,61023,36481,103826
"MAR 2010",1758429,324058,51896,106,237246,34810,794016,16641,399817,4147,256338,117073,46858,43673,3185,384782,14758,11628,270358,88038,208716,53827,38406,116483
"JUN 2010",1740090,300207,39698,189,223146,37173,746635,12157,378888,4839,239162,111589,109287,105881,3406,371006,12714,13092,257666,87534,212955,51303,39358,122295
"SEP 2010",1721670,311441,39437,930,232817,38258,761878,10926,396110,3727,242943,108173,62701,59477,3223,379251,14032,13593,258966,92660,206400,50273,34845,121282
"DIC 2010",1690418,299143,36629,975,220357,41182,762297,9910,413379,2811,237915,98283,54595,51323,3272,367553,11929,13035,248454,94136,206830,49323,35452,122056
"MAR 2011",1675603,302271,37875,485,221797,42114,764284,10640,395695,3435,235895,118619,43821,40665,3156,363326,11724,12179,245057,94367,201900,48601,34967,118331
"JUN 2011",1698712,296544,37245,8,215529,43762,796555,7554,425267,3720,231979,128035,48861,45732,3129,357576,11840,13159,237559,95018,199176,48617,35085,115475
"SEP 2011",1723526,304269,36605,508,222439,44716,771478,6211,402061,2812,223975,136418,92289,89019,3270,353743,7466,15740,231892,98646,201747,47747,36594,117407
"DIC 2011",1716256,286077,28534,430,211116,45997,713088,3494,362532,3383,212924,130755,178715,175360,3355,337238,5100,15986,218859,97293,201138,49326,36101,115710
"MAR 2012",1732748,259906,23602,6,191658,44640,646657,3341,311819,2774,193463,135259,279778,276496,3282,344723,8330,15708,214249,106436,201685,48599,36593,116492
"JUN 2012",1743261,241814,16369,73,175453,49918,578054,2699,273422,2952,163477,135504,412104,408695,3409,311477,5481,15633,184709,105654,199812,47391,34550,117871
"SEP 2012",1698365,257927,20397,330,187552,49647,528550,1899,237643,3396,154841,130771,403829,400455,3374,307745,4154,16116,184264,103212,200314,46461,36056,117798
"DIC 2012",1724881,332482,14010,387,225299,92786,494832,1800,211194,2725,159326,119788,343645,340349,3296,347369,6064,28829,205661,106815,206553,47815,40522,118216
"MAR 2013",1734320,348708,12025,121,240996,95566,532003,1506,248824,1960,163103,116612,303787,300479,3308,342268,6680,29916,199076,106596,207555,46561,41201,119792
"JUN 2013",1696538,348250,12780,261,237032,98176,515384,1410,248180,2684,156230,106880,291309,288055,3253,334497,6935,30251,191981,105330,207099,45671,42469,118959
"SEP 2013",1656251,375196,14978,1151,260071,98996,460835,1444,226220,2522,148111,82538,281557,278345,3213,332192,6848,30144,187961,107238,206471,45168,46286,115018
"DIC 2013",1634508,420761,25887,345,294454,100076,450995,1651,215446,2239,148449,83210,230313,227151,3162,326670,3437,30626,186732,105876,205769,44797,45704,115268
"MAR 2014",1683965,438269,29622,32,308253,100363,456681,1938,218904,2599,151288,81953,252863,249694,3169,327888,4552,31794,186663,104880,208264,43850,50504,113910
"JUN 2014",1708386,471246,45946,467,323503,101330,456901,2303,218564,4037,150233,81764,238203,235002,3201,329978,4738,31574,189774,103892,212059,44176,51813,116070
"SEP 2014",1731939,464431,48273,842,314983,100333,472559,2780,235772,3391,150456,80160,245669,242338,3331,326950,5037,33421,184989,103504,222330,46036,54925,121370
"DIC 2014",1734625,501270,53970,823,344958,101520,466918,3621,248345,2727,148412,63815,225786,222414,3372,322313,5320,33376,182237,101380,218338,48477,49643,120218
"MAR 2015",1824423,546282,52839,15,395249,98178,474118,4608,257778,1887,148843,61003,250187,246560,3628,328764,8400,39416,179187,101762,225071,50929,54126,120015
"JUN 2015",1797904,538616,55136,493,385179,97808,457218,3596,245918,3021,144180,60503,268417,264862,3555,313215,4718,39207,167272,102019,220437,50645,52076,117716
"SEP 2015",1817895,546508,57727,451,393283,95046,464627,5166,253540,1945,144247,59729,274797,271257,3541,311112,6083,40278,163162,101589,220851,51837,53031,115983
"DIC 2015",1815216,551544,57961,1395,398068,94120,440117,5623,231295,1328,141449,60422,300512,296913,3599,303450,7059,37775,158385,100232,219592,52287,52173,115132
