"","IE_6_2.1","IE_6_2.2","IE_6_2.3","IE_6_2.4","IE_6_2.5","IE_6_2.6","IE_6_2.7","IE_6_2.8","IE_6_2.9","IE_6_2.10","IE_6_2.11","IE_6_2.12","IE_6_2.13","IE_6_2.14"
"NÚMERO SECUENCIAL",2359317,2332388,2324922,2324345,2324348,2327192,2359319,2359320,2324955,2359307,2359311,2359313,2359314,2359315
"DESCRIPCIÓN DE LA SERIE","PDE2010.AAPP.DEUDA SEGUN PDE.TOTAL ","PDE2010.AAPP.ESTADO.DEUDA SEGUN PDE.TOTAL","SEC2010.AAPP.ORGANISMOS DE LA ADMINISTRACION CENTRAL.DEUDA SEGUN PDE.TOTAL PASIVOS","ADMINISTRACIONES PÚBLICAS . COMUNIDADES AUTÓNOMAS. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. TOTAL PASIVOS. ","ADMINISTRACIONES PÚBLICAS . CORPORACIONES LOCALES. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. TOTAL . ","PDE2010.AAPP.AASS.DEUDA SEGUN PDE.TOTAL","PDE2010.AAPP.DEUDA SEGUN PDE.DEUDA EN PODER DE AAPP.","PDE2010.AAPP.DEUDA SEGUN PDE.EFECTIVO Y DEPOSITOS","PDE2010.ADMINISTRACIONES PÚBLICAS.VALORES DISTINTOS DE ACCIONES.TOTAL","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.PRESTAMOS","PDE2010.AAPP.DEUDA SEGUN PDE.PRESTAMOS A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.PRESTAMOS A LARGO PLAZO"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"DIC 2000",374557244,309439129,5374665,39474216,19792730,18831542,18355054,2594690,314606843,13617294,300989549,57355694,5808667,51547028
"ENE 2001",369688821,304802744,5308881,39472396,19628296,18831542,18355054,2598728,309876168,13892600,295983568,57213908,6260411,50953496
"FEB 2001",369285754,303800912,5367130,39882696,19758510,18831542,18355054,2592346,309267738,13628819,295638919,57425654,6088098,51337556
"MAR 2001",372829628,307139706,5452543,40004616,19731760,18831542,18330554,2588403,312867667,13274777,299592890,57373542,5721222,51652320
"ABR 2001",372356426,305875522,5522483,40762668,19694748,18831542,18330554,2598242,311390236,13348372,298041864,58367932,6286410,52081520
"MAY 2001",374286522,308225349,5440386,40390436,19729342,18831542,18330554,2619788,313796977,13467091,300329886,57869739,5828748,52040992
"JUN 2001",377138244,310861544,5509905,40708928,19849364,18831542,18623054,2640414,316190143,12788387,303401756,58307670,6073479,52234192
"JUL 2001",379193627,311611007,5494811,41922552,19956752,18831542,18623054,2665603,317292629,13022064,304270565,59235379,7471450,51763928
"AGO 2001",377142278,310390208,5638538,41297092,19607934,18831542,18623054,2670459,316902623,13020501,303882122,57569178,6816726,50752452
"SEP 2001",378281096,311537052,5582894,41365100,19563048,18831542,18598554,2670772,318282932,13093478,305189454,57327377,6590381,50736996
"OCT 2001",378222747,310563850,5677094,42149428,19599368,18831542,18598554,2646996,317610839,13003877,304606962,57964896,7443216,50521680
"NOV 2001",377538642,310129694,5759626,41753504,19662810,18831542,18598554,2583992,317478400,13080175,304398225,57476232,6776023,50700208
"DIC 2001",378883421,309354793,6135186,43706288,20169700,18704392,19186954,2521726,318532095,13477861,305054234,57829584,6798777,51030808
"ENE 2002",379017856,308384027,5926552,44751240,20438580,18704392,19186954,1683601,318408682,13769291,304639391,58925555,7052723,51872832
"FEB 2002",375772554,304216578,6078488,45490860,20469172,18704392,19186954,1765199,313894344,14114411,299779933,60112994,7320835,52792160
"MAR 2002",379001644,309380484,6115668,43502492,20461046,18704392,19162454,1824166,319143916,14708767,304435149,58033546,6521208,51512336
